period_type,period,method,n,rain_mm,rmse,mae,mbe
month,2024-12,et_mccloud,31,303.59999999999997,98.06225233426386,97.55556161239689,97.55556161239689
month,2024-12,et_turc,31,303.59999999999997,0.3453455469834354,0.2448479437253767,-0.0926032613857514
month,2024-12,et_global_radiation,31,303.59999999999997,0.608502775654462,0.5047553195848961,-0.5047553195848961
month,2024-12,et_ivanov,31,303.59999999999997,2.639764276565948,2.3946059633293024,2.3946059633293024
month,2024-12,et_jensen_heise,31,303.59999999999997,0.5877667163264089,0.4874210746732217,-0.4874210746732217
month,2024-12,et_net_radiation,31,303.59999999999997,0.6217886245469562,0.5186555711223112,-0.5186555711223112
month,2024-12,et_radiation_temperature,31,303.59999999999997,0.6263620223730312,0.5251531318243079,-0.5251531318243079
month,2024-12,et_lungeon,31,303.59999999999997,0.28044872374942875,0.2053816804792152,-0.1990256689287625
month,2024-12,et_stephens_stewart,31,303.59999999999997,0.6149904652912882,0.5141301535795197,-0.5141301535795197
month,2024-12,et_hicks_hess,31,303.59999999999997,0.6094386361947708,0.5134801924150798,-0.5134801924150798
rainfall_season,dry,et_thornthwaite,183,457.6,4.175837508024304,4.161770128123971,4.161770128123971
rainfall_season,dry,et_thornthwaite_camargo,183,457.6,3.82570912492069,3.7835352784919696,3.7835352784919696
rainfall_season,dry,et_camargo,183,457.6,0.9196438379898578,0.8359294590420008,0.78914451606494
rainfall_season,dry,et_hargreaves_samani,183,457.6,1.0863481955256875,0.9953599724057368,0.9721390743715107
rainfall_season,dry,et_hargreaves_samani_corr,183,457.6,1.5503853261321958,1.4743270793926662,1.4743270793926662
rainfall_season,dry,et_priestley_taylor,183,457.6,1.262898464055656,1.1388401048407113,-1.1388401048407113
rainfall_season,dry,et_garcia_lopez,183,457.6,1.2651101524278103,1.1562003371031015,-1.1562003371031015
rainfall_season,dry,et_makkink,183,457.6,1.366433524704931,1.2531280368486137,-1.2531280368486137
rainfall_season,dry,et_mccloud,183,457.6,114.59084992311851,114.00294916622771,114.00294916622771
rainfall_season,dry,et_turc,183,457.6,0.8762382299522268,0.7031119169734816,-0.6933743379088062
rainfall_season,dry,et_global_radiation,183,457.6,1.2462785964817815,1.1210309919552082,-1.1210309919552082
rainfall_season,dry,et_ivanov,183,457.6,5.010087683830832,4.752103383460947,4.752103383460947
rainfall_season,dry,et_jensen_heise,183,457.6,1.2075368879650494,1.0849889208000156,-1.0849889208000156
rainfall_season,dry,et_net_radiation,183,457.6,1.2626132967849093,1.137810820861457,-1.137810820861457
rainfall_season,dry,et_radiation_temperature,183,457.6,1.2628824595799595,1.1396076718292525,-1.1396076718292525
rainfall_season,dry,et_lungeon,183,457.6,0.5396232470716056,0.425152167803416,-0.42009882173030927
rainfall_season,dry,et_stephens_stewart,183,457.6,1.24640847692495,1.1234229217925933,-1.1234229217925933
rainfall_season,dry,et_hicks_hess,183,457.6,1.2304302908990246,1.1141984998849748,-1.1141984998849748
rainfall_season,wet,et_thornthwaite,183,1780.0,4.204421837583049,4.190911793023612,4.190911793023612
rainfall_season,wet,et_thornthwaite_camargo,183,1780.0,4.30996120637309,4.291759835707408,4.291759835707408
rainfall_season,wet,et_camargo,183,1780.0,1.2000766850047433,1.1578310623361914,1.15733639791515
rainfall_season,wet,et_hargreaves_samani,183,1780.0,1.217277049758133,1.1760222338289856,1.1760222338289856
rainfall_season,wet,et_hargreaves_samani_corr,183,1780.0,1.6433718017823424,1.6093613345200746,1.6093613345200746
rainfall_season,wet,et_priestley_taylor,183,1780.0,0.7381844838424451,0.6432528068776947,-0.6432528068776947
rainfall_season,wet,et_garcia_lopez,183,1780.0,0.7762981480232252,0.6897895517159104,-0.6897895517159104
rainfall_season,wet,et_makkink,183,1780.0,0.8395055223944597,0.7582035626973184,-0.7582035626973184
rainfall_season,wet,et_mccloud,183,1780.0,100.97588203697828,100.583417234693,100.583417234693
rainfall_season,wet,et_turc,183,1780.0,0.4099368365811433,0.29951065126075505,-0.21006818525934304
rainfall_season,wet,et_global_radiation,183,1780.0,0.7200916708666565,0.6250556093057713,-0.6250556093057713
rainfall_season,wet,et_ivanov,183,1780.0,2.7153341888677467,2.5368511674796643,2.5368511674796643
rainfall_season,wet,et_jensen_heise,183,1780.0,0.6942851056629044,0.60309175658538,-0.60309175658538
rainfall_season,wet,et_net_radiation,183,1780.0,0.7357099446850436,0.64021337015968,-0.64021337015968
rainfall_season,wet,et_radiation_temperature,183,1780.0,0.7404859558380676,0.6460741688365509,-0.6460741688365509
rainfall_season,wet,et_lungeon,183,1780.0,0.3714231935228886,0.29550952995293617,-0.291065565512139
rainfall_season,wet,et_stephens_stewart,183,1780.0,0.7268733522861416,0.6334710810515336,-0.6334710810515336
rainfall_season,wet,et_hicks_hess,183,1780.0,0.7115908949189079,0.6245233376274272,-0.6245233376274272
