date,tmed_c,tmax_c,tmin_c,rh_mean_pct,rh_max_pct,rh_min_pct,wind_mean_ms,wind_max_ms,rain_mm,rad_global_mj_m2_d,rad_net_mj_m2_d,ra_extraterrestre_mj_m2_d,et_camargo,et_garcia_lopez,et_hargreaves_samani,et_hargreaves_samani_corr,et_penman_monteith,et_priestley_taylor,et_thornthwaite,et_thornthwaite_camargo
2024-02-01,22.66,30.89,17.07,78.69031249999998,100.0,39.29,1.534,8.34,0.0,21.7,10.69314,16.0,4.027751724137931,18.90832717562433,5.535128640106108,5.773471760793617,5.300893008901528,7.523179199999999,4.108329941062229,0
2024-02-02,23.41,29.45,18.51,77.8607291666667,97.2,55.72,1.313,4.594,0.0,19.25,9.353026,16.0,4.027751724137931,20.691312056037614,5.016018091288841,5.232008266592132,4.315192234922404,6.744325499999999,4.108329941062229,0
2024-02-03,22.99,27.39,18.17,82.44281,100.0,60.17,0.955,9.15,0.0,9.89,3.798573,16.0,4.027751724137931,19.67626671301228,4.55792300455772,4.754187565581337,3.3988511831366215,3.444712431428571,4.108329941062229,0
2024-02-04,23.51,27.82,19.13,74.18073,93.9,56.75,1.154,5.313,0.0,12.18,5.624086,16.0,4.027751724137931,20.93996000477804,4.481391662950713,4.674360777748049,3.1544755323655918,4.27326948,4.108329941062229,0
2024-02-05,25.31,32.76,18.46,66.28354166666666,96.8,38.23,1.002,4.354,0.0,24.68,14.07902,16.0,4.027751724137931,25.761143692227545,5.999207178525109,6.257533561442411,5.802548507965217,8.875851737142856,4.108329941062229,0
2024-02-06,26.26,32.86,19.56,69.22562499999998,99.0,43.61,1.391,5.073,0.0,25.84,14.71806,16.0,4.027751724137931,28.609466092635103,5.913139597774705,6.1677599031787524,5.880904449846526,9.412965668571427,4.108329941062229,0
2024-02-07,25.98,32.47,20.33,76.3809375,98.4,51.28,0.869,4.674,0.0,18.9,9.78509,16.0,4.027751724137931,27.741255251214188,5.613489559946312,5.8552069086579595,4.930010114143971,6.859015199999999,4.108329941062229,0
2024-02-08,26.88,34.26,20.62,68.8411458333333,97.6,31.63,1.26,6.192,0.0,28.77,16.4567,16.0,4.027751724137931,30.593531610161854,6.072509015891259,6.33399178230133,6.369864290293396,10.567451159999997,4.108329941062229,0
2024-02-09,27.52,34.74,21.49,67.53125000000001,95.8,35.88,1.299,7.55,0.0,26.38,15.32161,16.0,4.027751724137931,32.749778983229255,6.070796275352353,6.332205291005844,6.352975147703125,9.772071531428569,4.108329941062229,0
2024-02-10,27.68,35.7,20.72,64.81115,97.5,29.65,1.737,6.831,0.0,27.34,14.83532,16.0,4.027751724137931,33.308213657718724,6.477749975859063,6.756682453253137,6.8018387488286844,10.149061062857143,4.108329941062229,0
2024-02-11,27.64,34.93,20.04,64.31677,98.3,33.28,1.1,5.473,0.0,27.88,15.90943,16.0,4.027751724137931,33.16879689484109,6.4525813752036445,6.730430090464335,6.6741765528893255,10.344069462857142,4.108329941062229,0
2024-02-12,27.76,33.49,22.93,66.62313,94.4,42.52,1.175,6.032,0.0,23.88,14.05943,16.0,4.027751724137931,33.58777887174337,5.448331112607956,5.6829367242117605,5.25471464693961,8.873985394285713,4.108329941062229,0
2024-02-13,27.65,35.75,21.3,69.49083333333337,100.0,36.32,1.374,9.95,49.28,26.11,15.67715,16.0,4.027751724137931,33.199882733159775,6.3579283559599835,6.631701303979138,6.860860808842152,9.688637699999997,4.108329941062229,0
2024-02-14,23.7,28.88,20.59,91.31813,100.0,66.99,0.953,4.994,17.27,13.7,6.336005,16.0,4.027751724137931,21.404257835844746,4.397169234132341,4.586511723819106,3.3143215545198372,4.819268571428571,4.108329941062229,0
2024-02-15,22.13,24.71,20.09,91.33687500000002,99.9,77.39,1.545,4.914,0.254,7.462,2.742044,16.0,4.027751724137931,17.71045181402227,3.1584071681791,3.294408455558606,1.6551309856557015,2.5676805959999998,4.108329941062229,0
2024-02-16,22.57,28.25,19.27,87.953125,99.7,61.3,1.235,4.994,0.762,17.94,9.073736,16.0,4.027751724137931,18.69708576560325,4.451893192464851,4.643592100557294,3.6507538295245956,6.21173525142857,4.108329941062229,0
2024-02-17,23.81,29.5,19.95,82.78896,98.4,60.72,1.378,6.192,0.0,20.27,11.47723,16.0,4.027751724137931,21.68734743317318,4.732027068621142,4.935788565786871,4.268705838642934,7.141300534285714,4.108329941062229,0
2024-02-18,23.49,31.18,19.18,84.2899,100.0,48.19,1.29,8.67,8.64,24.66,13.69077,16.0,4.027751724137931,20.884657590596227,5.263605409356594,5.490256716110985,5.399127835090111,8.649382268571427,4.108329941062229,0
2024-02-19,23.08,31.46,18.56,85.43385416666666,100.0,47.82,1.037,6.991,0.254,26.07,15.14339,16.0,4.027751724137931,19.888445696846997,5.403231323104944,5.635894933849976,5.7174079785319405,9.091711388571428,4.108329941062229,0
2024-02-20,23.53,29.45,19.53,87.0071875,99.8,58.94,0.999,7.071,8.64,16.2,7.72123,16.0,4.027751724137931,20.982113900775843,4.790370012772407,4.99664376218795,4.0801113058019425,5.685241885714285,4.108329941062229,0
2024-02-21,23.33,29.74,19.18,86.8079166666667,100.0,58.5,1.343,5.633,7.366,17.97,8.349567,16.0,4.027751724137931,20.490509219923148,4.918565817857005,5.130359689789939,4.273960437552161,6.288847945714284,4.108329941062229,0
2024-02-22,24.51,30.89,19.08,83.31989583333338,100.0,54.12,0.734,3.715,0.254,21.51,10.43297,16.0,4.027751724137931,23.519248417240426,5.350763954939131,5.581168316247341,4.775948466434168,7.6517277171428555,4.108329941062229,0
2024-02-23,25.08,31.42,21.25,84.87114583333333,100.0,57.06,1.078,6.591,0.508,17.84,8.549134,16.0,4.027751724137931,25.092419850599757,5.032260003048681,5.24894955648507,4.500299884504316,6.395884662857142,4.108329941062229,0
2024-02-24,24.15,29.45,21.63,93.69406,100.0,72.84,0.727,4.674,15.75,8.56,2.084534,16.0,4.027751724137931,22.557135411945456,4.317011050719236,4.502901922056087,2.911114548873845,3.0299831999999998,4.108329941062229,0
2024-02-25,26.64,33.69,20.76,78.28115,100.0,45.84,1.444,6.591,0.254,25.68,13.93946,16.0,4.027751724137931,29.807117937713272,5.880593118731775,6.133811969917346,6.077663584085651,9.402357805714285,4.108329941062229,0
2024-02-26,26.45,32.49,21.64,75.57458333333334,96.5,50.36,1.766,5.952,0.0,20.83,10.66565,16.0,4.027751724137931,29.20239854431777,5.363841829882757,5.594809325623551,4.991469956781147,7.607264785714286,4.108329941062229,0
2024-02-27,27.08,34.16,21.05,77.49374999999999,99.9,48.81,1.003,7.31,3.302,21.35,11.43078,16.0,4.027751724137931,31.24894535356377,5.980011411838955,6.237511223373108,5.937625076174075,7.862887799999998,4.108329941062229,0
2024-02-28,27.82,34.06,22.93,77.3015625,99.7,48.09,1.19,7.39,0.0,22.56,12.49031,16.0,4.027751724137931,33.79168369278042,5.6008079588089155,5.841979236672543,5.502145004769214,8.390076891428569,4.108329941062229,0
2024-02-29,27.41,34.21,21.06,78.75364583333334,100.0,46.32,1.14,9.31,28.45,21.22,12.00396,16.0,4.027751724137931,32.36320136749336,6.0331649888337715,6.29295359801661,6.042881888442815,7.8492234342857135,4.108329941062229,0
2024-03-01,24.18,31.86,20.29,87.34052083333331,100.0,54.26,1.102,8.75,3.556,21.39,10.97151,14.5,3.6012387096774194,22.63948814356308,4.762170626993507,4.967230108404633,5.330568771309028,7.574553462857143,3.9876159572667365,0
2024-03-02,25.06,31.32,19.37,72.14115,96.0,45.25,1.922,5.872,0.0,26.88,13.57304,14.5,3.6012387096774194,25.043963163839024,4.941194593999911,5.153962863001806,5.511049006620418,9.634222079999999,3.9876159572667365,0
2024-03-03,25.33,33.01,17.89,70.76656,100.0,34.23,1.11,4.914,0.0,27.03,14.52422,14.5,3.6012387096774194,25.81598244607121,5.593082069909842,5.83392067032548,6.1758492011246275,9.72364091142857,3.9876159572667365,0
2024-03-04,26.29,33.54,19.57,77.19822916666664,100.0,43.07,0.999,5.872,0.0,24.98,14.14158,14.5,3.6012387096774194,28.69772879978404,5.495840752759803,5.7324921336009265,6.0949981514682925,9.103347205714286,3.9876159572667365,0
2024-03-05,26.18,33.3,21.54,80.53291666666668,100.0,49.71,1.377,6.591,29.21,23.6,13.80067,14.5,3.6012387096774194,28.353090252958808,5.029846414462239,5.246432038564161,5.595669246372477,8.5877568,3.9876159572667365,0
2024-03-06,24.66,30.41,20.48,83.07177083333335,100.0,57.4,1.529,6.032,1.524,18.95,9.870699,14.5,3.6012387096774194,23.926361801245054,4.462214594666232,4.654357943235221,4.317999210843514,6.754949485714285,3.9876159572667365,0
2024-03-07,26.06,32.38,20.82,77.58000000000006,97.1,51.42,1.711,5.073,0.0,20.19,10.80371,14.5,3.6012387096774194,27.985094346265505,4.973285400000001,5.187435501899512,5.002753801617239,7.3350616114285705,3.9876159572667365,0
2024-03-08,25.95,32.85,21.25,81.39989583333333,100.0,51.28,1.099,10.43,40.39,18.7,10.39648,14.5,3.6012387096774194,27.64657784426348,4.969387808906897,5.183370080194928,5.371174637419904,6.783692142857141,3.9876159572667365,0
2024-03-09,23.9,31.37,21.58,94.73,100.0,63.77,0.942,6.831,13.72,13.16,5.401626,14.5,3.6012387096774194,21.909795443183185,4.351342205321797,4.538711379161953,4.18603384255597,4.642171199999999,3.9876159572667365,0
2024-03-10,25.06,30.84,21.77,88.3824,100.0,63.67,1.152,4.834,0.254,15.43,8.251332,14.5,3.6012387096774194,25.03367983678673,4.30478681138454,4.490151305912377,3.8410880590307515,5.53035888,3.9876159572667365,0
2024-03-11,25.19,31.37,20.28,72.7926,96.4,45.97,2.033,5.872,0.0,25.87,12.09697,14.5,3.6012387096774194,25.412664803472282,4.774512739150274,4.980103672984384,5.212550759192575,9.288653065714284,3.9876159572667365,0
